"cve","repo","cve_time","cwe_id","cwe","patch num","commit list","desc","cwe_type","commit"
"CVE-2017-12158","keycloak_keycloak","2017/08/01","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')""), ('CWE-444', ""Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling')"")]","2","6ea9ed9
d9ffc4f","It was found that Keycloak would accept a HOST header URL in the admin console and use it to determine web resource locations. An attacker could use this flaw against an authenticated user to attain reflected XSS via a malicious server.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['6ea9ed9be8baa7c6971cfbdabecc91555dc561d7', 'd9ffc4fa211bbf2aae49449cb58e02b6ea8cd299']"
"CVE-2017-12159","keycloak_keycloak","2017/08/01","CWE-613","[('CWE-613', 'Insufficient Session Expiration')]","2","e201f20
9b75b60","It was found that the cookie used for CSRF prevention in Keycloak was not unique to each session. An attacker could use this flaw to gain access to an authenticated user session, leading to possible information disclosure or further attacks.","Insufficient Session Expiration","['e201f205d162d4d795d294fe065ca20f4005eef2', '9b75b603e3a5f5ba6deff13cbb45b070bf2d2239']"
"CVE-2017-12190","torvalds_linux","2017/08/01","CWE-772","[('CWE-772', 'Missing Release of Resource after Effective Lifetime'), ('CWE-400', 'Uncontrolled Resource Consumption')]","2","95d78c2
2b04e8f","The bio_map_user_iov and bio_unmap_user functions in block/bio.c in the Linux kernel before 4.13.8 do unbalanced refcounting when a SCSI I/O vector has small consecutive buffers belonging to the same page. The bio_add_pc_page function merges them into one, but the page reference is never dropped. This causes a memory leak and possible system lockup (exploitable against the host OS by a guest OS user, if a SCSI disk is passed through to a virtual machine) due to an out-of-memory condition.","Missing Release of Resource after Effective Lifetime","['95d78c28b5a85bacbc29b8dba7c04babb9b0d467', '2b04e8f6bbb196cab4b232af0f8d48ff2c7a8058']"
"CVE-2017-12196","undertow-io_undertow","2017/08/01","CWE-863","[('CWE-863', 'Incorrect Authorization'), ('CWE-287', 'Improper Authentication')]","2","facb33a
8804170","undertow before versions 1.4.18.SP1, 2.0.2.Final, 1.4.24.Final was found vulnerable when using Digest authentication, the server does not ensure that the value of URI in the Authorization header matches the URI in HTTP request line. This allows the attacker to cause a MITM attack and access the desired content on the server.","Incorrect Authorization","['facb33a5cedaf4b7b96d3840a08210370a806870', '8804170ce3186bdd83b486959399ec7ac0f59d0f']"
"CVE-2017-12605","opencv_opencv","2017/08/06","CWE-787","[('CWE-787', 'Out-of-bounds Write')]","5","999f41f
480f2a7
72d2925
30f7576
f0fb665","OpenCV (Open Source Computer Vision Library) through 3.3 has an out-of-bounds write error in the FillColorRow8 function in utils.cpp when reading an image file by using cv::imread.","Out-of-bounds Write","['999f41fb4f4aa94a0cb47256919ae8b5c29ca5f3', '480f2a77b457748ac49496a574c6bd06354ab3dd', '72d29259ca741950527c8cca7fb649030c01f658', '30f7576029deb8c125ae7688dd57cfa2156a6b72', 'f0fb665407a1162153930de1ab5a048a4f3d60f9']"
"CVE-2017-12610","apache_kafka","2017/08/07","CWE-287","[('CWE-287', 'Improper Authentication')]","3","9f34686
0b4daa4
47c2753","In Apache Kafka 0.10.0.0 to 0.10.2.1 and 0.11.0.0 to 0.11.0.1, authenticated Kafka clients may use impersonation via a manually crafted protocol message with SASL/PLAIN or SASL/SCRAM authentication when using the built-in PLAIN or SCRAM server implementations in Apache Kafka.","Improper Authentication","['9f3468645b968761ca9141d18337cb6adadbae9', '0b4daa4bf48517b4b3e9cda11692e80ade620b0', '47c2753496875db2849065ad91ee03c7c842c8e']"
"CVE-2017-12612","apache_spark","2017/08/07","CWE-502","[('CWE-502', 'Deserialization of Untrusted Data')]","6","f7cbf90
9952b53
0b25a7d
4cba3b5
8efc6e9
772a9b9","In Apache Spark 1.6.0 until 2.1.1, the launcher API performs unsafe deserialization of data received by its socket. This makes applications launched programmatically using the launcher API potentially vulnerable to arbitrary code execution by an attacker with access to any user account on the local machine. It does not affect apps run by spark-submit or spark-shell. The attacker would be able to execute code as the user that ran the Spark application. Users are encouraged to update to version 2.2.0 or later.","Deserialization of Untrusted Data","['f7cbf90a72a19476ea2d3d1ddc96c45a24b9f57', '9952b53b57498852cba799b47f00238e52114c7c', '0b25a7d93359e348e11b2e8698990a53436b3c5', '4cba3b5a350f4d477466fc73b32cbd653eee840', '8efc6e986554ae66eab93cd64a9035d716adbab', '772a9b969aa179150aa216e9efd950e512e9d0b4']"
"CVE-2017-12617","apache_tomcat","2017/08/07","CWE-434","[('CWE-434', 'Unrestricted Upload of File with Dangerous Type')]","3","4cf7dab
a9dd960
b7e0435","When running Apache Tomcat versions 9.0.0.M1 to 9.0.0, 8.5.0 to 8.5.22, 8.0.0.RC1 to 8.0.46 and 7.0.0 to 7.0.81 with HTTP PUTs enabled (e.g. via setting the readonly initialisation parameter of the Default servlet to false) it was possible to upload a JSP file to the server via a specially crafted request. This JSP could then be requested and any code it contained would be executed by the server.","Unrestricted Upload of File with Dangerous Type","['4cf7dab88282c8f3c92f0b961cdb0096e1d63e88', 'a9dd96046d7acb0357c6b7b9e6cc70d186fae663', 'b7e0435d17aba69f16ae9e8a78ad0f1565b552af']"
"CVE-2017-12622","apache_geode","2017/08/07","CWE-200","[('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')]","2","f6390a7
db4a493","When an Apache Geode cluster before v1.3.0 is operating in secure mode and an authenticated user connects to a Geode cluster using the gfsh tool with HTTP, the user is able to obtain status information and control cluster members even without CLUSTER:MANAGE privileges.","Exposure of Sensitive Information to an Unauthorized Actor","['f6390a7', 'db4a493efc09600bf0a9778d5274c09b23b16644']"
"CVE-2017-12624","apache_cxf","2017/08/07","NVD-CWE-noinfo","[('NVD-CWE-noinfo', 'Insufficient Information')]","3","a2ce435
896bd96
8bd915b","Apache CXF supports sending and receiving attachments via either the JAX-WS or JAX-RS specifications. It is possible to craft a message attachment header that could lead to a Denial of Service (DoS) attack on a CXF web service provider. Both JAX-WS and JAX-RS services are vulnerable to this attack. From Apache CXF 3.2.1 and 3.1.14, message attachment headers that are greater than 300 characters will be rejected by default. This value is configurable via the property ""attachment-max-header-size"".","Insufficient Information","['a2ce435cf0eedc8158d118d6d275114408d2a376', '896bd961cbbb6b8569700e5b70229f78f94ad9dd', '8bd915bfd7735c248ad660059c6b6ad26cdbcdf6']"
"CVE-2017-12626","apache_poi","2017/08/07","CWE-835","[('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")]","4","cd6236c
c7db66a
a07ed9e
df39101","Apache POI in versions prior to release 3.17 are vulnerable to Denial of Service Attacks: 1) Infinite Loops while parsing crafted WMF, EMF, MSG and macros (POI bugs 61338 and 61294), and 2) Out of Memory Exceptions while parsing crafted DOC, PPT and XLS (POI bugs 52372 and 61295).","Loop with Unreachable Exit Condition ('Infinite Loop')","['cd6236c74b55763a27e3e9b5f269c28bc9c98419', 'c7db66a30dfb6cbbd5812ff3ae4c90ed2d9b9a27', 'a07ed9e86474da98f204efadfd5b9327009a0d21', 'df3910135fd9c442b4e746e4b156362fd2e8d755']"
"CVE-2017-12629","apache_lucene-solr","2017/08/07","CWE-611","[('CWE-611', 'Improper Restriction of XML External Entity Reference')]","5","926cc4d
d28baa3
d8000be
f9fd6e9
3bba911","Remote code execution occurs in Apache Solr before 7.1 with Apache Lucene before 7.1 by exploiting XXE in conjunction with use of a Config API add-listener command to reach the RunExecutableListener class. Elasticsearch, although it uses Lucene, is NOT vulnerable to this. Note that the XML external entity expansion vulnerability occurs in the XML Query Parser which is available, by default, for any query request with parameters deftype=xmlparser and can be exploited to upload malicious data to the /upload request handler or as Blind XXE using ftp wrapper in order to read arbitrary local files from the Solr server. Note also that the second vulnerability relates to remote code execution using the RunExecutableListener available on all affected versions of Solr.","Improper Restriction of XML External Entity Reference","['926cc4d65b6d2cc40ff07f76d50ddeda947e3cc', 'd28baa3fc5566b47f1ca7cc2ba1aba658dc634a', 'd8000beebfb13ba0b6e754f84c760e11592d8d1', 'f9fd6e9e26224f26f1542224ce187e04c27b268', '3bba91131b5257e64b9d0a2193e1e32a145b2a2']"
"CVE-2017-12631","apache_cxf-fediz","2017/08/07","CWE-352","[('CWE-352', 'Cross-Site Request Forgery (CSRF)')]","3","ccdb12b
e712712
48dd9b6","Apache CXF Fediz ships with a number of container-specific plugins to enable WS-Federation for applications. A CSRF (Cross Style Request Forgery) style vulnerability has been found in the Spring 2, Spring 3 and Spring 4 plugins in versions before 1.4.3 and 1.3.3. The vulnerability can result in a security context that is set up using a malicious client's roles for the given enduser.","Cross-Site Request Forgery (CSRF)","['ccdb12b26ff89e0a998a333e84dd84bd713ac76', 'e7127129dbc0f4ee83985052085e185e750cebbf', '48dd9b68d67c6b729376c1ce8886f52a57df6c4']"
"CVE-2017-12634","apache_camel","2017/08/07","CWE-502","[('CWE-502', 'Deserialization of Untrusted Data')]","4","573ebd3
2ae645e
adc06a7
ad3c1ce","The camel-castor component in Apache Camel 2.x before 2.19.4 and 2.20.x before 2.20.1 is vulnerable to Java object de-serialisation vulnerability. De-serializing untrusted data can lead to security flaws.","Deserialization of Untrusted Data","['573ebd3de810cc7e239f175e1d2d6993f1f2ad0', '2ae645e90edff3bcc1b958cb53ddc5e60a7f49f', 'adc06a78f04c8d798709a5818104abe5a8ae4b3', 'ad3c1ce9d8300c339cfa7d0f4a4dea691a94798']"
"CVE-2017-12843","cyrusimap_cyrus-imapd","2017/08/14","CWE-20","[('CWE-20', 'Improper Input Validation')]","2","53c4137
5edadcf","Cyrus IMAP before 3.0.3 allows remote authenticated users to write to arbitrary files via a crafted (1) SYNCAPPLY, (2) SYNCGET or (3) SYNCRESTORE command.","Improper Input Validation","['53c4137bd924b954432c6c59da7572c4c5ffa901', '5edadcfb83bf27107578830801817f9e6d0ad941']"
"CVE-2017-12847","NagiosEnterprises_nagioscore","2017/08/14","CWE-665","[('CWE-665', 'Improper Initialization')]","2","3baffa7
1b19734","Nagios Core before 4.3.3 creates a nagios.lock PID file after dropping privileges to a non-root account, which might allow local users to kill arbitrary processes by leveraging access to this non-root account for nagios.lock modification before a root script executes a ""kill `cat /pathname/nagios.lock`"" command.","Improper Initialization","['3baffa78bafebbbdf9f448890ba5a952ea2d73cb', '1b197346d490df2e2d3b1dcce5ac6134ad0c8752']"
"CVE-2017-12873","simplesamlphp_simplesamlphp","2017/08/15","CWE-384","[('CWE-384', 'Session Fixation')]","6","a890b60
8cd7196
baba857
90dca83
300d8aa
e2daf4c","SimpleSAMLphp 1.7.0 through 1.14.10 might allow attackers to obtain sensitive information, gain unauthorized access, or have unspecified other impacts by leveraging incorrect persistent NameID generation when an Identity Provider (IdP) is misconfigured.","Session Fixation","['a890b60438d4c8bcdcfd770361aedbbe64ad4c74', '8cd71966fbd55b7fd67ca8c849eaf1df7ab42462', 'baba857afb874d8d6cac0fd8e976ff2859a6cd60', '90dca835158495b173808273e7df127303b8b953', '300d8aa48fe93706ade95be481c68e9cf2f32d1f', 'e2daf4ceb6e580815c3741384b3a09b85a5fc231']"
"CVE-2017-12896","the-tcpdump-group_tcpdump","2017/08/17","CWE-125","[('CWE-125', 'Out-of-bounds Read')]","2","f76e7fe
4e430c6","The ISAKMP parser in tcpdump before 4.9.2 has a buffer over-read in print-isakmp.c:isakmp_rfc3948_print().","Out-of-bounds Read","['f76e7feb41a4327d2b0978449bbdafe98d4a3771', '4e430c6b0d8b7e77c7abca7e7afb0c3e727502f2']"
"CVE-2017-12899","the-tcpdump-group_tcpdump","2017/08/17","CWE-125","[('CWE-125', 'Out-of-bounds Read')]","2","f96003b
c6e0531","The DECnet parser in tcpdump before 4.9.2 has a buffer over-read in print-decnet.c:decnet_print().","Out-of-bounds Read","['f96003b21e2abfbba59b926b10a7f9bc7d11e36c', 'c6e0531b5def26ecf912e8de6ade86cbdaed3751']"
"CVE-2017-12902","the-tcpdump-group_tcpdump","2017/08/17","CWE-125","[('CWE-125', 'Out-of-bounds Read')]","2","d17507f
6ec0c6f","The Zephyr parser in tcpdump before 4.9.2 has a buffer over-read in print-zephyr.c, several functions.","Out-of-bounds Read","['d17507ffa3e9742199b02a66aa940e79ababfa30', '6ec0c6fa63412c7a07a5bcb790a529c3563b4173']"
"CVE-2017-12987","the-tcpdump-group_tcpdump","2017/08/21","CWE-125","[('CWE-125', 'Out-of-bounds Read')]","2","99798bd
2ecb9d2","The IEEE 802.11 parser in tcpdump before 4.9.2 has a buffer over-read in print-802_11.c:parse_elements().","Out-of-bounds Read","['99798bd9a41bd3d03fdc1e949810a38967f20ed3', '2ecb9d2c67d9119250c54811a6ce4d0f2ddf44f1']"
"CVE-2017-13000","the-tcpdump-group_tcpdump","2017/08/21","CWE-125","[('CWE-125', 'Out-of-bounds Read')]","3","a7e5f58
9be4e0b
8512734","The IEEE 802.15.4 parser in tcpdump before 4.9.2 has a buffer over-read in print-802_15_4.c:ieee802_15_4_if_print().","Out-of-bounds Read","['a7e5f58f402e6919ec444a57946bade7dfd6b184', '9be4e0b5938b705e7e36cfcb110a740c6ff0cb97', '8512734883227c11568bb35da1d48b9f8466f43f']"
"CVE-2017-13004","the-tcpdump-group_tcpdump","2017/08/21","CWE-125","[('CWE-125', 'Out-of-bounds Read')]","2","42073d5
35d146b","The Juniper protocols parser in tcpdump before 4.9.2 has a buffer over-read in print-juniper.c:juniper_parse_header().","Out-of-bounds Read","['42073d54c53a496be40ae84152bbfe2c923ac7bc', '35d146b7a66496d72cdeb95ccb33ab80a265ce90']"
"CVE-2017-13020","the-tcpdump-group_tcpdump","2017/08/21","CWE-125","[('CWE-125', 'Out-of-bounds Read')]","2","d692d67
c5dd7be","The VTP parser in tcpdump before 4.9.2 has a buffer over-read in print-vtp.c:vtp_print().","Out-of-bounds Read","['d692d67332bcc90540088ad8e725eb3279e39863', 'c5dd7bef5e54da5996dc4713284aa6266ae75b75']"
"CVE-2017-13024","the-tcpdump-group_tcpdump","2017/08/21","CWE-125","[('CWE-125', 'Out-of-bounds Read')]","2","7d3aba9
2e1f6d9","The IPv6 mobility parser in tcpdump before 4.9.2 has a buffer over-read in print-mobility.c:mobility_opt_print().","Out-of-bounds Read","['7d3aba9f06899d0128ef46e8a2fa143c6fad8f62', '2e1f6d9320afa83abc1ff716c7981fa504edadf2']"
"CVE-2017-13028","the-tcpdump-group_tcpdump","2017/08/21","CWE-125","[('CWE-125', 'Out-of-bounds Read')]","2","66e2296
29e5470","The BOOTP parser in tcpdump before 4.9.2 has a buffer over-read in print-bootp.c:bootp_print().","Out-of-bounds Read","['66e22961b30547e9a8daa1f0e8dc9fbe6e2698fa', '29e5470e6ab84badbc31f4532bb7554a796d9d52']"
"CVE-2017-13142","ImageMagick_ImageMagick","2017/08/23","CWE-754","[('CWE-754', 'Improper Check for Unusual or Exceptional Conditions')]","2","aa84944
46e3aab","In ImageMagick before 6.9.9-0 and 7.x before 7.0.6-1, a crafted PNG file could trigger a crash because there was an insufficient check for short files.","Improper Check for Unusual or Exceptional Conditions","['aa84944b405acebbeefe871d0f64969b9e9f31ac', '46e3aabbf8d59a1bdebdbb65acb9b9e0484577d3']"
"CVE-2017-13145","ImageMagick_ImageMagick","2017/08/23","CWE-20","[('CWE-20', 'Improper Input Validation')]","2","acee073
f13c6b5","In ImageMagick before 6.9.8-8 and 7.x before 7.0.5-9, the ReadJP2Image function in coders/jp2.c does not properly validate the channel geometry, leading to a crash.","Improper Input Validation","['acee073df34aa4d491bf5cb74d3a15fc80f0a3aa', 'f13c6b54a879aaa771ec64b5a066b939e8f8e7f0']"
"CVE-2017-13687","the-tcpdump-group_tcpdump","2017/08/25","CWE-125","[('CWE-125', 'Out-of-bounds Read')]","2","a1eefe9
866c602","The Cisco HDLC parser in tcpdump before 4.9.2 has a buffer over-read in print-chdlc.c:chdlc_print().","Out-of-bounds Read","['a1eefe986065846b6c69dbc09afd9fa1a02c4a3d', '866c60236c41cea1e1654c8a071897292f64be49']"
"CVE-2017-13725","the-tcpdump-group_tcpdump","2017/08/28","CWE-125","[('CWE-125', 'Out-of-bounds Read')]","2","c7c515e
3c4d7c0","The IPv6 routing header parser in tcpdump before 4.9.2 has a buffer over-read in print-rt6.c:rt6_print().","Out-of-bounds Read","['c7c515ee03c285cc51376328de4ae9d549e501a5', '3c4d7c0ee30a30e5abff3d6d9586a3753101faf5']"
"CVE-2017-14032","ARMmbed_mbedtls","2017/08/30","CWE-287","[('CWE-287', 'Improper Authentication')]","2","d15795a
31458a1","ARM mbed TLS before 1.3.21 and 2.x before 2.1.9, if optional authentication is configured, allows remote attackers to bypass peer authentication via an X.509 certificate chain with many intermediates. NOTE: although mbed TLS was formerly known as PolarSSL, the releases shipped with the PolarSSL name are not affected.","Improper Authentication","['d15795acd5074e0b44e71f7ede8bdfe1b48591fc', '31458a18788b0cf0b722acda9bb2f2fe13a3fb32']"
"CVE-2017-14058","FFmpeg_FFmpeg","2017/08/31","CWE-835","[('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")]","2","7ba100d
7ec4148","In FFmpeg 2.4 and 3.3.3, the read_data function in libavformat/hls.c does not restrict reload attempts for an insufficient list, which allows remote attackers to cause a denial of service (infinite loop).","Loop with Unreachable Exit Condition ('Infinite Loop')","['7ba100d3e6e8b1e5d5342feb960a7f081d6e15af', '7ec414892ddcad88313848494b6fc5f437c9ca4a']"
"CVE-2017-14063","AsyncHttpClient_async-http-client","2017/08/31","CWE-20","[('CWE-20', 'Improper Input Validation')]","2","e9f12b2
eb9e334","Async Http Client (aka async-http-client) before 2.0.35 can be tricked into connecting to a host different from the one extracted by java.net.URI if a '?' character occurs in a fragment identifier. Similar bugs were previously identified in cURL (CVE-2016-8624) and Oracle Java 8 java.net.URL.","Improper Input Validation","['e9f12b29725c567cdb4de98b3302a61ca9d41280', 'eb9e3347e45319be494db24d285a2aee4396f5d3']"
"CVE-2017-14136","opencv_opencv","2017/09/04","CWE-787","[('CWE-787', 'Out-of-bounds Write')]","4","6ca5c5c
53a2a5a
df1a026
aacae20","OpenCV (Open Source Computer Vision Library) 3.3 has an out-of-bounds write error in the function FillColorRow1 in utils.cpp when reading an image file by using cv::imread. NOTE: this vulnerability exists because of an incomplete fix for CVE-2017-12597.","Out-of-bounds Write","['6ca5c5c3a388c03b90fe8fa72185cb66545a690c', '53a2a5ab87552093d6f3e66ec0dc2e3a60617fd7', 'df1a0263299d2875eb51e85351b58d354304da22', 'aacae2065744adb05e858d327198c7bbe7f452b0']"
"CVE-2017-14169","FFmpeg_FFmpeg","2017/09/07","CWE-20","[('CWE-20', 'Improper Input Validation')]","2","a4e85b2
9d00fb9","In the mxf_read_primer_pack function in libavformat/mxfdec.c in FFmpeg 3.3.3 -> 2.4, an integer signedness error might occur when a crafted file, which claims a large ""item_num"" field such as 0xffffffff, is provided. As a result, the variable ""item_num"" turns negative, bypassing the check for a large value.","Improper Input Validation","['a4e85b2e1c8d5b4bf0091157bbdeb0e457fb7b8f', '9d00fb9d70ee8c0cc7002b89318c5be00f1bbdad']"
"CVE-2017-14170","FFmpeg_FFmpeg","2017/09/07","CWE-834","[('CWE-834', 'Excessive Iteration')]","2","f173cdf
900f396","In libavformat/mxfdec.c in FFmpeg 3.3.3 -> 2.4, a DoS in mxf_read_index_entry_array() due to lack of an EOF (End of File) check might cause huge CPU consumption. When a crafted MXF file, which claims a large ""nb_index_entries"" field in the header but does not contain sufficient backing data, is provided, the loop would consume huge CPU resources, since there is no EOF check inside the loop. Moreover, this big loop can be invoked multiple times if there is more than one applicable data segment in the crafted MXF file.","Excessive Iteration","['f173cdfe669556aa92857adafe60cbe5f2aa1210', '900f39692ca0337a98a7cf047e4e2611071810c2']"
"CVE-2017-14174","ImageMagick_ImageMagick","2017/09/07","CWE-834","[('CWE-834', 'Excessive Iteration')]","2","f68a98a
04a5674","In coders/psd.c in ImageMagick 7.0.7-0 Q16, a DoS in ReadPSDLayersInternal() due to lack of an EOF (End of File) check might cause huge CPU consumption. When a crafted PSD file, which claims a large ""length"" field in the header but does not contain sufficient backing data, is provided, the loop over ""length"" would consume huge CPU resources, since there is no EOF check inside the loop.","Excessive Iteration","['f68a98a9d385838a1c73ec960a14102949940a64', '04a567494786d5bb50894fc8bb8fea0cf496bea8']"
"CVE-2017-14500","akrennmair_newsbeuter","2017/09/17","CWE-78","[('CWE-78', ""Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"")]","2","c8fea2f
26f5a43","Improper Neutralization of Special Elements used in an OS Command in the podcast playback function of Podbeuter in Newsbeuter 0.3 through 2.9 allows remote attackers to perform user-assisted code execution by crafting an RSS item with a media enclosure (i.e., a podcast file) that includes shell metacharacters in its filename, related to pb_controller.cpp and queueloader.cpp, a different vulnerability than CVE-2017-12904.","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')","['c8fea2f60c18ed30bdd1bb6f798e994e51a58260', '26f5a4350f3ab5507bb8727051c87bb04660f333']"
"CVE-2017-14604","GNOME_nautilus","2017/09/20","CWE-20","[('CWE-20', 'Improper Input Validation')]","2","bc91920
1630f53","GNOME Nautilus before 3.23.90 allows attackers to spoof a file type by using the .desktop file extension, as demonstrated by an attack in which a .desktop file's Name field ends in .pdf but this file's Exec field launches a malicious ""sh -c"" command. In other words, Nautilus provides no UI indication that a file actually has the potentially unsafe .desktop extension; instead, the UI only shows the .pdf extension. One (slightly) mitigating factor is that an attack requires the .desktop file to have execute permission. The solution is to ask the user to confirm that the file is supposed to be treated as a .desktop file, and then remember the user's answer in the metadata::trusted field.","Improper Input Validation","['bc919205bf774f6af3fa7154506c46039af5a69b', '1630f53481f445ada0a455e9979236d31a8d3bb0']"
"CVE-2017-14695","saltstack_salt","2017/09/22","CWE-22","[('CWE-22', ""Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"")]","4","80d9030
206ae23
9ba1f61
31b38f5","Directory traversal vulnerability in minion id validation in SaltStack Salt before 2016.3.8, 2016.11.x before 2016.11.8, and 2017.7.x before 2017.7.2 allows remote minions with incorrect credentials to authenticate to a master via a crafted minion ID.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2017-12791.","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","['80d90307b07b3703428ecbb7c8bb468e28a9ae6d', '206ae23f15cb7ec95a07dee4cbe9802da84f9c42', '9ba1f6112fa72627b42eed4c4eea439dce2df31c', '31b38f50ebf321a1d14af0868c516a5de865f5a8']"
"CVE-2017-14723","WordPress_WordPress","2017/09/23","CWE-89","[('CWE-89', ""Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"")]","2","fc930d3
70b2127","Before version 4.8.2, WordPress mishandled % characters and additional placeholder values in $wpdb->prepare, and thus did not properly address the possibility of plugins and themes enabling SQL injection attacks.","Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')","['fc930d3daed1c3acef010d04acc2c5de93cd18ec', '70b21279098fc973eae803693c0705a548128e48']"
"CVE-2017-14735","nahsra_antisamy","2017/09/25","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","3","73825bc
e76f02a
82da009","OWASP AntiSamy before 1.5.7 allows XSS via HTML5 entities, as demonstrated by use of &colon; to construct a javascript: URL.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['73825bc67026baed16bc9dd02edcc69d7fbf180f', 'e76f02a77afb4e43b897f13d17b5bc1260b8afde', '82da009e733a989a57190cd6aa1b6824724f6d36']"
"CVE-2017-14921","tine20_Tine-2.0-Open-Source-Groupware-and-CRM","2017/09/29","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","3","bc8a6fb
24e39e1
146c5aa","Stored XSS vulnerability via IMG element at ""Filename"" of Filemanager in Tine 2.0 Community Edition before 2017.08.4 allows an authenticated user to inject JavaScript, which is mishandled during rendering by the application administrator and other users.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['bc8a6fbd3128cf5ef27d808f6c6ba869fdc2262b', '24e39e1e930097b8793a03b8864d3c484ede546b', '146c5aaafd826c1c8990333c393bff6f64c90786']"
"CVE-2017-14922","tine20_Tine-2.0-Open-Source-Groupware-and-CRM","2017/09/29","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","3","bc8a6fb
24e39e1
146c5aa","Stored XSS vulnerability via IMG element at ""History"" of Profile, Calendar, Tasks, and CRM in Tine 2.0 Community Edition before 2017.08.4 allows an authenticated user to inject JavaScript, which is mishandled during rendering by the application administrator and other users.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['bc8a6fbd3128cf5ef27d808f6c6ba869fdc2262b', '24e39e1e930097b8793a03b8864d3c484ede546b', '146c5aaafd826c1c8990333c393bff6f64c90786']"
"CVE-2017-14923","tine20_Tine-2.0-Open-Source-Groupware-and-CRM","2017/09/29","CWE-79","[('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")]","3","bc8a6fb
24e39e1
146c5aa","Stored XSS vulnerability via IMG element at ""Leadname"" of CRM in Tine 2.0 Community Edition before 2017.08.4 allows an authenticated user to inject JavaScript, which is mishandled during rendering by the application administrator and other users.","Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","['bc8a6fbd3128cf5ef27d808f6c6ba869fdc2262b', '24e39e1e930097b8793a03b8864d3c484ede546b', '146c5aaafd826c1c8990333c393bff6f64c90786']"
"CVE-2017-15195","kanboard_kanboard","2017/10/10","CWE-639","[('CWE-639', 'Authorization Bypass Through User-Controlled Key')]","2","3e0f14a
074f6c1","In Kanboard before 1.0.47, by altering form data, an authenticated user can edit swimlanes of a private project of another user.","Authorization Bypass Through User-Controlled Key","['3e0f14ae2b0b5a44bd038a472f17eac75f538524', '074f6c104f3e49401ef0065540338fc2d4be79f0']"
"CVE-2017-15196","kanboard_kanboard","2017/10/10","CWE-639","[('CWE-639', 'Authorization Bypass Through User-Controlled Key')]","2","3e0f14a
074f6c1","In Kanboard before 1.0.47, by altering form data, an authenticated user can remove columns from a private project of another user.","Authorization Bypass Through User-Controlled Key","['3e0f14ae2b0b5a44bd038a472f17eac75f538524', '074f6c104f3e49401ef0065540338fc2d4be79f0']"
"CVE-2017-15197","kanboard_kanboard","2017/10/10","CWE-639","[('CWE-639', 'Authorization Bypass Through User-Controlled Key')]","2","3e0f14a
074f6c1","In Kanboard before 1.0.47, by altering form data, an authenticated user can add a new category to a private project of another user.","Authorization Bypass Through User-Controlled Key","['3e0f14ae2b0b5a44bd038a472f17eac75f538524', '074f6c104f3e49401ef0065540338fc2d4be79f0']"
"CVE-2017-15198","kanboard_kanboard","2017/10/10","CWE-200","[('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')]","2","3e0f14a
074f6c1","In Kanboard before 1.0.47, by altering form data, an authenticated user can edit a category of a private project of another user.","Exposure of Sensitive Information to an Unauthorized Actor","['3e0f14ae2b0b5a44bd038a472f17eac75f538524', '074f6c104f3e49401ef0065540338fc2d4be79f0']"
"CVE-2017-15199","kanboard_kanboard","2017/10/10","CWE-639","[('CWE-639', 'Authorization Bypass Through User-Controlled Key')]","2","3e0f14a
074f6c1","In Kanboard before 1.0.47, by altering form data, an authenticated user can edit metadata of a private project of another user, as demonstrated by Name, Email, Identifier, and Description.","Authorization Bypass Through User-Controlled Key","['3e0f14ae2b0b5a44bd038a472f17eac75f538524', '074f6c104f3e49401ef0065540338fc2d4be79f0']"
